Course Code,Course Name,Credits,Prereqs,Description
APEC 165,The FREC First Year Experience,1,No prerequisites.,"Provides practical skills and information necessary for success in college and professional career. Focuses on academic services, campus resources and career opportunities."
APEC 166,SPECIAL PROBLEM,1-3,No prerequisites.,Description not available.
APEC 167,SEMINAR,1-6,No prerequisites.,Description not available.
APEC 212,Food Retailing and Consumer Behavior,3,No prerequisites.,"Topics include consumer market environment, demographic characteristics of the population, food retail marketing and financial strategies, product merchandising planning, new product development strategies and site location analysis."
APEC 266,SPECIAL PROBLEM,1-3,No prerequisites.,Description not available.
APEC 267,SEMINAR,1-6,No prerequisites.,Description not available.
APEC 270,Biotechnology: Science and Socioeconomic Issues,3,No prerequisites.,"Introduction to agricultural biotechnology and socio-economic issues. Introduces genetic engineering and the basic scientific theory and the applications of biotechnology in agriculture production and research. Presents issues surrounding biotechnology-risk and technology assessment, animal rights, public and private research interface, media and environmental perspectives, consumer acceptance, regulation and economic development."
APEC 305,Management and Leadership Development,3,No prerequisites.,"Exposes students to food and agribusiness human resource management and employee development. Emphasis on the functions of management, leadership principles, effective supervision, training programs, employee and management appraisal systems, role of minorities in management and ethics in management."
APEC 316,Economics of Biotechnology and New Technologies,3,No prerequisites.,"Introduction to the economic explanations for new technologies, innovation and adoption. Biotechnology issues include consumer acceptance, labeling, risk assessment, market structure, trade, patents and the environment. Other current technologies and the future are examined."
APEC 324,Introduction to Resource Economics,3,"APEC 150, ECON 101",Introduction to efficient allocation of natural resources over time and uses by competitive market; sources of market failures and their effects on allocative efficiency; and the effects of economic policies on addressing market failures.
APEC 335,Advanced Data Management,3,APEC 135,"Introduction to database structure and management using computer software to collect, manage, transform, and analyze medium to large data sets. The emphasis will be practical applications and development of data skills."
APEC 343,Environmental Economics,3,ECON 101,Develop basic economic concepts to analyze the benefits and costs of environmental policy; review valuation techniques; assess market failures and externalities; analyze public goods and common pool resources; integrates climate change and sustainability into ongoing policy and market discussions. Uses graphical and mathematical analysis.
APEC 345,Strategic Selling and Buyer Communication,3,No prerequisites.,"Application of strategic selling techniques to actual selling situations. Focus on technical and personal sales. Involves extensive use of videos, case problems, sales presentations and traveling with sales professionals."
APEC 350,Farm Management,3,"APEC 150, ACCT 207","Basis and conditions for agricultural production, farm planning and analysis, management of crop and production, investments and financial problems and management of labor."
APEC 366,Independent Study,1-6,No prerequisites.,Description not available.
APEC 367,SEMINAR,1-6,No prerequisites.,Description not available.
APEC 399,Teaching Assistant,1-2,No prerequisites.,Practical teaching experience. Students participate and assist in the instruction of an undergraduate course.
APEC 404,Food and Fiber Marketing,3,No prerequisites.,"System approach to food and fiber marketing analysis: consumer, retail, processor, wholesale and farm level. Domestic and foreign demand and supply and analysis, pricing, marketing costs, food safety, market power and its sources. Physical distribution, and structure of the food and fiber marketing system."
APEC 406,Agricultural and Natural Resource Policy,3,"APEC 150, ECON 101","Agricultural and natural resource policy formation, effects of policy on resource allocation and economics of alternative programs. Analysis of effects of various programs on producers, consumers and taxpayers, especially contemporary issues and market failures."
APEC 408,Statistical Research Methods,3,No prerequisites.,"An introductory statistics course for advanced undergraduate and graduate students with applications for life sciences, business, health, engineering, and the social sciences. The course managing and describing data; the normal, t, F and chi squared distributions; the logic of inference; inferential statistics for one and two sample problems; analysis of table data; analysis of variance; and multiple regression. The course is taught using statistical software."
APEC 409,Surveys and Economic Experiments,3,STAT 200,"Research methods for the social sciences from surveys to lab and field experiments with a focus on consumer behavior and resource management issues. Emphasis on designing, conducting and reporting results from research and learning to critically read results from other studies. Data issues and data analysis and modeling techniques will be discussed including graphical methods, inference, and multiple regression."
APEC 410,International Agricultural Trade and Marketing,3,"APEC 150, ECON 101",The global economy and role of government and other institutions in setting agricultural trade policy. Trade theories and theoretical foundations of the economics of international agricultural trade. Current issues and analytical methods of international agricultural trade.
APEC 412,Strategic Marketing Competition,1-9,No prerequisites.,Strategic marketing of a new food or fiber product/service. Development of a marketing plan and communicating the plan effectively in local and national competition.
APEC 424,Resource Economics,3,"APEC 150, ECON 101","Theoretical allocation of exhaustible and renewable resources over time, concepts of social welfare and depletion, and review of market failures and contemporary resource management issues."
APEC 429,Community Economic Development,3,"APEC 150, ECON 101","Community economic development in the United States; application of economic principles regarding industrial location, land use, environmental protection, and economic growth and public service provision; and economic development policies."
APEC 430,Establishing and Managing a Food and Agribusiness Enterprise,3,No prerequisites.,"Analysis of the necessary factors to consider in initiating a Food and Agribusiness enterprise. Including strategic marketing concepts, competitive, communication, site, and financial strategies, management structure and legal forms of small businesses, etc. Involves case studies and writing a business plan."
APEC 444,Economics of Environmental Management,3,ECON 251,Review of benefit-cost analysis and welfare theory; techniques for evaluating environmental amenities; the evolution of environmental legislation; and review of case studies of environmental conflicts.
APEC 450,Topics in Environmental Law,3,No prerequisites.,Overview of the legal process and environmental laws in order to understand policy issues and learn action processes in the environmental field.
APEC 464,Internship,1-3,No prerequisites.,"Practical experience acquired by working with corporate and government institutions. Internship sponsor, performance evaluation, and written reports are required."
APEC 466,Independent Study,1-6,No prerequisites.,Description not available.
APEC 467,SEMINAR,1-6,No prerequisites.,Description not available.
APEC 480,Geographic Information Systems in Natural Resource Management,4,No prerequisites.,Introductory hands-on training in geographic information systems for environmental and natural resource management.
ARAB 105,Arabic ,3-4,No prerequisites.,"Introduction to the Arabic language and development of speaking, listening, reading and writing skills through the use of basic texts."
ARAB 106,Arabic I,3-4,"ARAB 105, ARAB 105","Completion of basic Arabic. Increasing mastery of the basic skills of speaking, listening, reading and writing."
ARAB 107,Arabic II,3-4,"ARAB 106, ARAB 106","Review of grammar, continued practice in speaking and writing, and reading texts of average difficulty."
ARAB 167,SEMINAR,1-6,No prerequisites.,Description not available.
ARAB 200,Advanced Intermediate Arabic,3,ARAB 107,A continuation of 
ARAB 201,Arabic Grammar and Composition,3,ARAB 107,Focuses on increasing knowledge of Arabic Grammatical system and improving writing skills. Emphasis is on grammar.
ARAB 205,Arabic Conversation,3,ARAB 200,"Focuses on improving oral communication skills through discussion of various topics related to modern, social and cultural life in the Arab World. It includes grammar review and writing practice."
ARAB 206,Culture Through Conversation,3,ARAB 107,Taught abroad and focuses on topics drawn from contemporary Arab life discussing aspects of modern Arab culture.
ARAB 208,Contemporary  North Africa,3,No prerequisites.,"Survey of contemporary North African civilization. Taught abroad in Morocco or Tunisia. Incorporates geography, history, society, economy and politics, with an emphasis on Tunisia. Emphasis on Tunisia’s cultural fluidity through Islamic, French Colonial, and post-Independence governments. Taught in English."
ARAB 266,Special Problem,1-3,No prerequisites.,Description not available.
ARAB 267,SEMINAR,1-6,No prerequisites.,Description not available.
ARAB 301,Advanced Reading in Arabic,3,"ARAB 205, 
","Taught sequentially, directly following "
ARAB 305,Conversation and Composition,3,"ARAB 205, 
","Foster the four language skills with a particular focus on conversation and composition. Using al-Kitaab Part III the most advanced part in the series al-Kitaab textbook we will be discussing topics relevant to modern Arab society and culture such as development, education, the role of poetry, minorities in the Arab world, freedom and repression, political Islam."
ARAB 366,Independent Study,1-6,No prerequisites.,Description not available.
ARAB 367,SEMINAR,1-6,No prerequisites.,Description not available.
ARAB 401,Reading Fiction in Arabic: Short Story and Play,3,"ARAB 305, 
","Using short stories and plays by contemporary authors this course will introduce students to the use of literary Arabic. We will read, translate selected passages and act selected scenes from the plays."
ARAB 405,Advanced Arabic through Media,3,"ARAB 305, 
","Through the study of printed and video media materials this course focuses on the reading, listening and translation skills. We will be discussing articles and watching videos on aspects of current events in the Arab world."
ARAB 467,SEMINAR,1-6,No prerequisites.,Description not available.
ART 112,Drawing II,3,No prerequisites.,Emphasizes drawing as the expressive communication of experience and ideas with increasing attention on the conceptual rather than perceptual. Progressive understanding of materials and mixed media with a broader development of critical vocabulary.
ART 113,Design II,3,No prerequisites.,"Artists and designers apply the vocabulary of Design I to projects of increasing complexity. Communicating in representational, abstract and non-objective formats, students give multi-sensory form to original concepts using 2D and 3D media."
ART 117,Research Studio: Practice and Product,3,No prerequisites.,"Problem solving for the artist and designer through projects that are media independent. Discussion of creative strategies for idea generation, research, critical analysis, and communication. Exploration and discovery toward the establishment of productive studio practice. Projects include both individual and collaborative investigations."
ART 118,Foundations Colloquium,1,No prerequisites.,A forum introducing projects and fundamental principles of art and design. Explore opportunities for department majors and undergraduate research. Contemporary visiting artists and faculty presentations engage students in critical thinking and writing. Instruction on utilizing campus and online resources to achieve foundation year goals.
ART 129,Design for Non-Majors,3,No prerequisites.,"Introduction to art and design principles within creative problem solving assignments using 2-dimensional and 3-dimensional media. Design organization criteria, technical craftsmanship, and artistic objectives interconnect to support production of original expressive statements."
ART 133,Drawing for Non-Majors,3,No prerequisites.,"Projects involving black-and-white and color studies in a variety of media, including charcoal, pencil, ink, and pastels."
ART 166,SPECIAL PROBLEM,1-3,No prerequisites.,Description not available.
ART 167,SEMINAR,1-6,No prerequisites.,Description not available.
ART 180,Digital Photography for Non-Majors,3,No prerequisites.,"Introduces the basics of photography as a way to communicate ideas emphasizing content, composition, and technique. Examines contemporary artists and historic movements through research, gallery visits and lectures. Using a digital camera and visual editing software students create, edit and critique images."
ART 200,Introduction to Art and Design for Games,3,No prerequisites.,"Students will learn game theory, animation, and design. Intended for students from across the university, no experience with making art or knowledge of computer programming is required. Students will work individually and in groups to design and develop working video games."
ART 201,Introduction to the Graphic Novel,3,No prerequisites.,"Introduction to acquaint students with application of basic comics-making practice: writing, drawing, editing, planning and composing pages, basic use of tools, reproduction of work, contemporary and historical context, traditions and terminology. Lecture, demonstration, critique, and slide viewing will expose students to terms and concepts to be applied to their own work. A variety of exercises and techniques will be demonstrated and practiced."
ART 202,Typography I,3,No prerequisites.,"Introduction to fundamentals of typography and the study of letterforms: history of the modern alphabet, type classification, effects of printing technology (i.e. letterpress) on typography, drawing letterforms, constructing letterforms, designing a page with type."
ART 203,Typography II,3,"ART 202, ART 206","Further development in use of typography for communication: grid systems, effects of context on legibility and readability, type in sequence (i.e. books, animation, interactivity), typographic systems and modernist grid compositions in publications, use of computer as tool for typographic projects, introduction to design theory (i.e. semiotics) as it applies to typography."
ART 204,Media/Design/Culture,3,No prerequisites.,"Current and historical media processes and their impact on art, design and culture. Image making and manipulation, video, audio, interactivity, and connectivity. Viewing fine art and design projects, the historical aspects of design and digital media, basic media theory, and universal principles of software and digital media. Projects include writing, creating visual media, and making presentations. Unfamiliar media experienced firsthand through exhibitions, screenings, lectures, online exploration and consumer media devices."
ART 205,Core Interactive Media,3,No prerequisites.,Introduction to interactive media and concepts of interaction design. Students learn the basics of coding and programming languages that are fundamental to human-computer interaction and strategies for understanding users and prototyping designed experiences with media.
ART 206,Form and Communication I,3,No prerequisites.,"Students create images by hand to use for graphic design communication, learning techniques and processes that communicate concepts. These processes and techniques are applied by using illustrative and representative imagery to communicate ideas in graphic design systems."
ART 207,Form and Communication II,3,"ART 202, ART 206","Development of image-making techniques and processes with the intention to communicate: graphic translation and representation, digital and analog processes, semiotics, design systems. Utilization of design fundamentals for composition and communication of visual form."
ART 208,Core Typography,3,ART 209,"Fundamentals of typography and the study of letterforms, history of the modern alphabet, type classification, effects of printing technology on typography, drawing letterforms, constructing letterforms, designing a page with type."
ART 209,Core Design,3,No prerequisites.,"Dynamic shaping of surface and space for expressive communication with an emphasis on organizational principles in representational, abstract and non-objective formats. Students give multi-sensory form to original concepts."
ART 215,Seeing and Being,3,No prerequisites.,"Focuses on how people see, process and respond to visual information embedded in the world, from immediate personal environments to the larger places in which we live. Visual impact and social action are explored within contexts of change. Design thinking and innovation processes are highlighted."
ART 218,Core Colloquium,1,No prerequisites.,A forum introducing projects and fundamental principles of art and design.  Explore opportunities for department majors and undergraduate research. Contemporary visiting artists and faculty presentations engage students in critical thinking and writing.  Instruction on utilizing campus and online resources to achieve core curriculum goals.
ART 230,Figure Drawing,3,No prerequisites.,"Drawing the human figure through direct observation. Emphasizes strong fundamental skills, experimentation and imagination. Working with an assortment of traditional mixed media, students explore line,value,color and perspective to interpret form and space while developing original content."
ART 231,Introduction to Painting,3,No prerequisites.,"An exploration of beginning oil painting methods and material through both traditional and conceptual painting ideas, providing the student with a foundation for discovering their unique potential for self-expression."
ART 233,Drawing as Study,3,No prerequisites.,"Develop both a technical and conceptual understanding of the methods behind the drawing process. Analyze the systems involved in transferring the three-dimensional world to a two-dimensional surface. Discussions about light and shadow, surface texture, perspective, and, in particular, linear structure, as well as the various ways these conditions reveal themselves visually. The prior concepts will be used as the foundation on which to build more advanced understanding of how drawing might be used to investigate the physical world, and what might differentiate it from other ways of recording. Repeatable for 6 credits."
ART 235,Core Drawing,3,No prerequisites.,"What do we see versus what we think we see? Perceptual drawing as a language and means of communication for artists and designers. Projects in and development of technical skills through basic drawing media explore drawing in its various forms: process/investigation, proposal, document, and artifact."
ART 236,Core Painting,3,ART 235,"A study of color theory and formal design elements through the use of beginning oil painting methods and materials, exploring traditional and conceptual painting ideas, provides a foundation for discovery of self-expression."
ART 243,Introduction to Printmaking,3,No prerequisites.,"Introduction to a variety of print techniques including digital, silkscreen, etching, and woodcut, and for developing multiple and one of a kind images."
ART 245,Core Printmaking,3,ART 235,"An introductory printmaking course designed specifically for Art majors. Projects are designed to allow students to demonstrate an understanding of the multiple facets of printmaking. Hands on experience in screen-printing, monotype, intaglio, relief and screen printmaking will be covered."
ART 246,Screenprinting,3,No prerequisites.,"Introduction to basic water-based screenprinting including drawing fluid, crayon resist, and photo emulsion techniques."
ART 250,Introduction to Sculpture,3,No prerequisites.,Introduction to a wide variety of construction techniques and tools to create sculpture working in metal and wood including welding and woodshop equipment.
ART 255,Core Sculpture,3,ART 295,"Introduction to the fundamental issues to creating sculpture including processes, content and spatial relationships. Introduced to welding, casting and woodworking techniques through a variety of materials and equipment."
ART 265,Core 3-D Modeling,3,No prerequisites.,"Introduction to using software to create 3D models and computer animations.  Students will be given a comprehensive introduction to the various components including modeling, animating, rendering and lighting."
ART 266,SPECIAL PROBLEM,1-3,No prerequisites.,Description not available.
ART 267,SEMINAR,1-6,No prerequisites.,Description not available.
ART 280,Introduction to Photo and Video,3,No prerequisites.,"Introduction to digital photography, video, and sound art. Explore lens-based and time-based uses of the camera and computer. Investigate collaborative methodologies and critical study of media culture and relationships to digital technology in an image-saturated society."
ART 281,Darkroom Photography,3,No prerequisites.,"Explores the concepts and tools of black & white photography while studying photographic movements such as conceptual photography, portraiture, landscape, social documentary, and the manipulated image. Includes analog camera, flash, and darkroom techniques."
ART 284,Core Photography,3,No prerequisites.,"Explores the tools, movements and critical concepts of analog and digital photography as well as basic lighting techniques through a series of interlocking lectures, exercises and visual problems. Course has a consumable fee."
ART 285,Core Moving Images,3,ART 284,"Introduction to digital video, animation, and sound recording. Explore time-based uses of the camera and computer through hands-on projects. Explores cultural and historical fascination with time, motion, and light through screenings, lectures, and readings."
ART 289,Documentary Photography,3,No prerequisites.,"Introduces critical issues and practices in documentary photography and video. Explores the influence of social documentarians. Examines the relationship of word and image, the role of photo editors and the development of the photo-essay through discussion and studio experience."
ART 290,Introduction to Ceramics,3,No prerequisites.,"Introduction to the tools, processes and aesthetics of ceramics."
ART 295,Core Ceramics,3,No prerequisites.,"First-year majors are introduced to both the fundamentals of working with clay, and the fundamentals of an artistic practice. What does it mean to think with and through a material? Process and and engaged investigation will be emphasized, with strong encouragement for experimentation and creativity. Course has a consumable fee."
ART 301,Design Studio,3,"ART 302, ART 303, ART 308","Designed to emulate a professional design studio practice. Students develop skills in collaboration, client relations, production and advanced media applications in conjunction with a refined development of personal creative process and awareness of cultural contexts."
ART 302,Typography Methods,3,No prerequisites.,"Development in use of typogrpahy for communication: grid systems, effects of context on legibility and readability, type in sequence, typographic systems and modernist grid compositions in publications, use of computer as tool for typographic projects, introduction to design theory as it applies to typography."
ART 303,Design Methods,3,No prerequisites.,"Development of image-making techniques and processes with the intention to communicate: graphic translation and representation, digital and analog processes, semiotics, design systems. Utilization of design fundamentals for composition and communication of visual form."
ART 307,Interaction Design,3,"ART 205, 
","Focusing on the development of meaningful interactions between technology and people, specifically through screen-based interfaces, (computer screens, tablets, smart phones, etc.), students develop skills in planning and producing engaging user experiences, (information architecture, prototyping, user interface design and production), with special attention to conceptualizing innovative uses of new technology and critical evaluation of one’s work. Skills in html, css and Adobe Photoshop are required."
ART 308,Type and Image,3,"ART 202, ART 203, ART 206","Combining typographic and image-making techniques and processes for communication design. Students use materials and media in an advanced, refined way and develop personal methods for expressing a point of view and communicating ideas."
ART 309,Book Arts,3,No prerequisites.,Exploration of book arts as a complete object that integrates content and form through narratives and/or sequential picture planes. Emphasis on elements of design and the principles of book planning and production.
ART 310,Photographic Design,3,No prerequisites.,"Explores photographic imagery in communication design and to understand the creative relationship between image and design. Students develop conceptual and technical skills emphasizing both studio and location assignments for graphic and advertising design projects including editorial, print advertising, posters, collateral materials, books and packaging."
ART 312,Illustration Methods,3,No prerequisites.,"Introduction to illustration methods through color mediums such as watercolor, gouache, acrylic, oils, and dry color media. Emphasis is on various approaches to illustrated visual imagery in editorial, book, institutional and advertising contexts."
ART 315,Issues in Contemporary Art,3,No prerequisites.,"Examination of current issues of content and form; developments in technology; and social, political and cultural issues affecting contemporary visual art and artists."
ART 317,Printmaking Strategies,3,"ART 243, ART 245","Different print techniques (screenprint, lithography, relief, etc.) will be explored and exploited for their ability to generate large editions in different formats including zines, books and large-scale print/installations."
ART 318,Applied Design Visits,3,No prerequisites.,"To gain a global awareness of the applied design field students will visit, discuss and review design-related organizations (i.e. advertising agencies, design studios, interactive / Web design studios, photographers, illustrators, commercial directors, magazines, and design museums) through a series of assigned projects."
ART 319,Applied Design Topics,3,No prerequisites.,"Students undertake assigned independent research projects relating to applied design topics and projects (i.e. advertising, graphic and design, typography, applied photography, etc.) resulting in visual and written presentations."
ART 322,Advertising Design Methods,3,No prerequisites.,"Introduces basic tools and techniques of modern advertising along with an overview of industry history and practices. Students create advertising strategies and use a variety of media to communicate ideas effectively. Assignments include semester-long and weekly assignments to build strategy, copywriting, and art direction skills."
ART 324,The Art of Social Change,3,No prerequisites.,20th Century international liberation artists’ works are examined from interdisciplinary perspectives. Students will observe and write about art works using behavioral science methods. Interaction with contemporary social change artists and one visual project are part of the course.
ART 326,Experimental Animation,3,"ART 280, ART 284, ART 285","Explores experimental techniques in animation through hands-on projects. Addresses fundamental problems such as timing, rhythm, and sound. Explores cultural and historical fascination with animating the inanimate through screenings, lectures, and readings. Includes a variety of formats: traditional, digital, and/or electronic."
ART 327,Expanded Printmaking,3,"ART 243, ART 245","Exploration of a variety of printmaking techniques including digital, silkscreen etching and woodcut for developing multiple and one of a kind images. Students will be introduced to the contemporary issues and conversations associated with Printmaking as an art form."
ART 331,Intermediate Painting,3,"ART 231, ART 236",Identifying and exploring ideas through the development of critical awareness of contimporary painting issues and structures. Emphasis on directed conceptual problems and a variety of materials.
ART 334,Figure Painting,3,"ART 230, ART 231, ART 236",Evolving conceptual and technical aolutions to depicting the human figure in oil. Emphasis is on creating a representational and expressive finished product.
ART 335,Drawing Approaches,3,"ART 112, ART 129, ART 235",Exploration of drawing using various media. A range of conceptual ideas including representational and abstract concepts.
ART 344,Digital Printmaking,3,"ART 243, ART 245","Explores digital image making and output. Utilizes large-scale digital prints, commercial printmaking techniques, web-based editions, and combinations of new and traditional materials. Explores concepts and theory of new media in relation to printmaking."
ART 346,Letterpress Printing,3,"ART 243, ART 245","Explores the process and product of printing through various media, technology and conceptual approaches. Focuses on text and image relationships by integrating letterpress, woodcut, linoleum blocks, and digital systems. Exploration of processes and results in creation of an edition conceptually centered around individual interests."
ART 350,Sculpture Processes,3,ART 250,"Explores construction techniques and tools to create sculpture, introducing more advanced techniques and information.  Pursue individual goals, selecting materials and types of artistic expressions that best suit each individual and creative situation."
ART 352,Illustration Narrative,3,No prerequisites.,"Introduction to the history, methods, and future of conceptual and narrative illustration. Learn to choose themes and make original stories through image making. Making effective, strong and original layouts is emphasized in this course. Utilize a variety of strategies and methods for image making in physical and digital media."
ART 353,Illustration Studio,3,No prerequisites.,"Explores conceptual strategies that critically link type and image, and the creative approaches for developing unique visual form to abstract conceptual ideas. Strong emphasis is placed matching form to content, non-literal thinking, and experimentation. Projects are designed to further build a strong conceptual skill-base and point of view with the confidence and flexibility to work within conventional, emerging and future markets."
ART 363,Introduction to Fashion and Fashion Photography,3,No prerequisites.,"Introduction to history of the medium and will cover fashion photography from the early 1900?s to the present. The genre of fashion photography is defined in part and is devoted to photographing clothing, models, still life and other fashion. Street fashion will be covered and explored."
ART 366,Independent Study,1-6,No prerequisites.,Description not available.
ART 367,SEMINAR,1-6,No prerequisites.,Description not available.
ART 370,Special Topics,3,No prerequisites.,Thematically based studio course following faculty research interests. Repeatable for 9 credits. Requires Instructor permission.
ART 382,Darkroom Photographic Processes,3,"ART 280, ART 284, ART 289",Investigates alternatives within analog and digital media to create unique images exploring 18th - 20th century photographic processes and alternatives. Empasizes concepts of light-sensitive imaging and investigations of classic and current materials augmenting traditional darkroom photographic processes.
ART 384,Photographic Strategies,3,"ART 280, ART 284, ART 285","Expanded exploration of historic and contemporary photographic practice, critical theory and movements. Develop an advanced body of work through selective image processing, printing and portfolio development."
ART 385,Moving Image Production,3,"ART 280, ART 284, ART 285","Digital video animation, and time-based installation are contextualized within a tradition of fine art while exploring conceptual, experimental, narrative and documentary methodologies. Investigate lens media through readings, screenings, critiques, and hands-on creation of single and multi-channel video at an intermediate level."
ART 390,Ceramics-wheel throwing & firing,3,"ART 290, ART 295",Learn the fundamentals of wheel-throwing with emphasis on imaginative potentials inherent in this technique. Learn basic clay and glaze-mixing chemistry and how to fire electric and gas kilns. Encouraged to experiment in this course.
ART 393,Expanded Ceramic Processes,3,"ART 290, ART 295","Students will explore and research ceramic materials, structures, and transformations n a rich variety of building, glazing, and firing techniques. Focus on material experimentation in group projects and individual investigation. Students will be introduced to contemporary issues/conversations associated with Ceramics as an art form. Course has a consumable fee. Repeatable for 9 credits."
ART 400,Visual Communications Practicum,3,"ART 301, ART 308",Designed to introduce Visual Communications BFA seniors to various aspects of a career in visual communications. Faculty and visiting artists and designers are invited to present topics to the class in lecture and discussion formats. Develop an awareness of diverse creative practices.
ART 401,Portfolio Preparation,3,"ART 402, ART 409, ART 400","Produce a portfolio accurately and effectively showing media proficiencies and ability to communicate ideas and point of view. Develop an awareness of how work and individual strengths relate to the current culture, society and creative business environments, informed by knowledge of contemporary and historical visual communications."
ART 402,Experimental Typography,3,ART 301,"Exploration of advanced typography in multiple media and for multiple purposees related to visual communications, including on-and-off-screen media, (i.e. motion graphics, illustration, graphic design, typeface design and publication design)."
ART 403,Degree Project,3,"ART 402, ART 409","Independent project within Visual Communications disciplines that serves as an in-depth inquiry into a subject of the student’s choice, and directly relates to their intended career pathway. Projects are vetted and reviewed by a committee of faculty who serve as advisors."
ART 406,Artist’s Machine,3,No prerequisites.,"Exploration of artist-constructed machines (i.e. micro-electronics, robotics, kinetic sculpture and interactive installation) as media for artistic expression. Balance of theory and practice with specific emphasis on making of electronic objects and positioning these in various contexts. No prior knowledge of electronics required."
ART 407,"Topics in Art, Design & Technology",3,No prerequisites.,"Produce multi-faceted projects that explore the impact of art, design and technology on society through research and theoretical study at an advanced level. Students may engage with diverse communities, cultural producers, and other departments."
ART 408,Internship,3,No prerequisites.,"Students have a hands-on professional experience in their field of choice in consultation with Faculty Advisors and interact with professionals in a creative working environment. The internship requires a minimum number of hours in a studio, gallery, design, advertising or related organization."
ART 409,Design Contexts,3,ART 301,Collaborative approach to large-scale design projects that take advantage of students’ individual skills and unique points of view. Projects are designed to emulate a small creative studio.
ART 416,Senior Seminar,3,No prerequisites.,Explores issues relevant to advancing studio practice and developing a cohesive body of work for BFA exhibitions. Examines implications of pursuing a future in a fine arts studio discipline.
ART 417,BFA Exhibition,0,No prerequisites.,The concluding exhibition required of all Bachelor of Fine Arts candidates and usually held during the final semester of undergraduate study.
ART 419,Senior Studio,3,ART 416,Students work independently to develop a body of art for BFA exhibition and portfolio. The approach is inter-disciplinary and students are encouraged to experiment with a variety of media and collaborate with other artists; critique and discussion emphasize concept and content.
ART 432,Painting Studio,3,"ART 331, ART 334",Provides an atmosphere of support for a maturing studio practice. Emphasis on evolving a painting or material awareness in the pursuit of a more personal artistic direction and style.
ART 440,Printmaking Studio,3,"ART 243, ART 245, ART 246","Emphasizes color printing and integration of advanced printmaking methods and materials. Traditional printmaking techniques and ideas are expanded, experimentation promoted, and new technologies explored. Focuses on individual research through exploring one or more processes."
ART 450,Sculpture Studio,3,ART 350,Provides for development of a cohesive body of work based on personal thoughts and artistic ideals. Self-directed in collaboration with the instructor. Strong emphasis on individual concerns and interest working three-dimensionally.
ART 466,Independent Study,1-6,No prerequisites.,Description not available.
ART 467,SEMINAR,1-6,No prerequisites.,Description not available.
ART 481,Photo and Video Studio,3,"ART 307, ART 310, ART 326","Develop independent work through various stages of production culminating in a completed photo, video, web, or interactive work.  Discuss criticism, techniques and contemporary lens media theory at an advanced level. Projects may include experimental techniques, multichannel or gallery-based installation, animation, narrative, and/or documentary approaches."
ART 490,Ceramics Studio,3,"ART 290, ART 295, ART 390","Curriculum is self-directed in collaboration with the instructor with a strong emphasis on individuality, articulation, and communicaiton. students will maintain an individual studio practice, participate in written and oral group discussions."
ARTC 101,Art Conservation Freshman Seminar,1,No prerequisites.,"Introduction to the field through exposure to Winterthur Museum, Library and Garden and current art conservation projects. Professional interaction fosters academic and social competencies while explaining education, research, and career opportunities."
ARTC 110,Digital Heritage,3,No prerequisites.,Description not available.
ARTC 166,SPECIAL PROBLEM,1-6,No prerequisites.,Description not available.
ARTC 167,SEMINAR,1-6,No prerequisites.,Description not available.
ARTC 185,Color Mixing and Matching,3,No prerequisites.,"Lecture-studio presentation covering analytical and practical aspects of mixing and matching colorants without instrumentation. Pigments, dyes and the manufacture of paint studied. Major topics include color interaction and the Munsell system of color description."
ARTC 210,Science of Color Phenomena,4,No prerequisites.,Introduction to basic physical and chemical principles which describe nature of light and the phenomena of color. Targeted for non-science majors who seek a descriptive understanding of scientific principles underlying formation of color phenomena found in nature and works of art.
ARTC 267,SEMINAR,1-6,No prerequisites.,Description not available.
ARTC 280,Studio in the Materials and Techniques of Drawing in the West,3,No prerequisites.,"Lecture-studio presentation on materials and tools, supports and techniques of wet and dry media drawing in the West from about the year 1400 to the present. Topics include the development and manufacture of paper, pens, brushes, inks, watercolor paint, charcoal, metal points, graphite pencils, natural and fabricated chalks, crayons, pastels, erasers and fixatives. Studio reconstructions of masterworks, lectures and library research."
ARTC 301,Care and Preservation of Cultural Property I,3,No prerequisites.,"Examines philosophy, ethics, and practice of material culture preservation and the issues pertaining to collections management of cultural property. Typical deterioration characteristics and preventive conservation alternatives will be presented and discussed."
ARTC 302,Care and Preservation of Cultural Property II,3,No prerequisites.,"This undergraduate course will serve as an introduction to the practice of conservation, specifically conservation documentation. The class will provide students with a basic knowledge of conservation terminology, conservation literature and research resources, methods of conservation documentation, and prepare students for conservation internships."
ARTC 367,SEMINAR,1-6,No prerequisites.,Description not available.
ARTC 390,Art and Forensics: Painting,3,No prerequisites.,"The class will introduce the materials and techniques used by Western easel painters from the early Renaissance through the early 20th century and explore how science and analytical methods can answer questions relating to the materials, methods, age, attribution, and authenticity of paintings and artwork."
ARTC 464,Preservation Internship,1-12,No prerequisites.,Description not available.
ARTC 466,Independent Study,1-6,No prerequisites.,Description not available.
ARTC 467,SEMINAR,1-6,No prerequisites.,Description not available.
ARTC 488,Studio Materials and Techniques of Painting I,3,No prerequisites.,"Major masters and the materials, tools, supports and techniques of architectural painting and panel painting in tempera from about 1500 BC to AD 1500. Topics include true fresco and egg tempera painting. Studio reconstructions, lectures and library research."
